Index,class,tweet,group,num_target_groups
2539,0,"Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (well, according to the internet).",jews,1.0
2770,0,all us beaners were pissed like robert when the jew ref stopped it,"jews, mexican",2.0
3204,0,"sounds like a good idea. But I want my word to be spread. Jews, niggers and commies alike.",jews,1.0
3602,0,we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.,jews,2.0
4198,0,Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!,jews,1.0
4373,0,Jews and white race traitors have to be swept clean so the Aryan race can survive.,jews,1.0
4879,0,"Shame of you! Self-hating kike. 
We Jews are G-d's chosen people.",jews,1.0
5708,0,pats owner is a kike.,jews,1.0
5793,0,We are being overrun by mongrels because ZOG or the Jews that run our countries want the white man to perish.,jews,1.0
6443,0,Bernstine is Chi Sox Jew fag.,jews,1.0
7974,0,And the Jew  favorited my tweet though. Lol. Don't have anymore time for this trash.,jews,1.0
10074,0,Hey my folk. This nigger loving Jew boy  asked if I was making death threats against his goat fucking people. Fuck him.,jews,1.0
10104,0,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,jews,1.0
10457,0,I do da flow in a temple today fo nuttin. And dat Jew wit the funky hair tell me I subhuman. He tell me I ain't no mo human den a monkey,jews,1.0
11416,0,"I would like to apologize to anyone I have called fat, stupid, gay, nigger, jew or retarded. I am truly sorry.... 

JK 

Just trolling

Fags",jews,1.0
16019,0,Yay for America &amp; Israel... we put in more Jew Hating muslim trash into our government! pathetic &amp; sickening,jews,1.0
23074,0,"What be the peckin order?
 white Christian
 colored
 Porto Ricans 
 Arab 
 Jews 

I donts know. I be axin","christian, black, latinos, jews, whites",5.0
