Index,class,tweet,group,num_target_groups
2912,0,shut up chink.!!!,asian,1.0
2938,0,"true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao",asian ,1.0
4929,0,this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.,asian,1.0
6177,0,"I don't hate the Japs. But, I AINT FORGETTING GETTIN JAPPED EITHER.",asian ,1.0
8587,0,"Can't stand that asian dude just now, faggot gives me attitude cause I almost forgot my water, fuck u faggot if I wasn't on stage",asian,1.0
9228,0,Every gook in #LosAngeles should be deported or killed.,asian,1.0
9237,0,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,asian,1.0
9586,0,Fucking gook,asian,1.0
10092,0,"His big ass smile, his eyes is chink.",asian,1.0
10933,0,I like Chinese buffets but I hate all the chinks,asian,1.0
12785,0,Little fucking gook who smells like shit. An than thinking they're the motherfuckin boss. THE FUCK!,asian ,1.0
13038,0,Man I swear today's like nation hit tony while he's driving day.... This chink almost smashed into me...,asian,1.0
14951,0,ching chong,asian ,1.0
20185,0,Oh my goodness do I hate Chinese people. Fucking zipperheads,asian,1.0
23910,0,You state it gook,asian,1.0
25197,0,"which one of these names is more offensive kike, wop, kraut, wetback jigaboo, towelhead, gook, or redskin.","mexican, asian, whites, black",4.0
