Index,class,tweet,group
221,0,""": Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes ....dudes a fag",women
357,0,""": Stacey Dash won &#; baddest bitch evaaaa",women
574,0,"""These sour apple bitter bitches, I'm not fuckin wit em""",women
613,0,"""You ain't gunna do shit spear chucker""",women
624,0,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",women
635,0,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",women
645,0,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",women
803,0,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,women
1010,0,"&#;&#;&#; i just said that RT : My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg",women
1281,0,&#;: Tea bag a bitch.&#; Pahahaha,women
1308,0,"&#;:  you like ', you needs to&#;..... You a hoe. . i'm '(breaking) .suck my dick.",women
1576,0,"&#;:   damn they got wifey &#;&#;&#;&#;&#;&#;&#;&#;&#;

Fall back nigga &#;.. I don't share my hoes",women
1743,0,&#;: &#;&#;RT : Lemme find out you niggaz letting bitches shit on yo faces&#; &#; niggas is weirdos,women
1851,0,&#;: I hate that bitch &amp; the fact that oomf likes her.. just no &#;&#; retweeettt x.,women
1863,0,&#;:  &#;&#;&#;&#;&#; bitch ass nigga fuck you ! &#;&#;&#;&#;&#;&#;&#;&#;&#;&#;&#; &lt;= these hoes ain't got no manners #RealTalk,women
1964,0,"&#;: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#; you can dm me",women
2733,0,your a nasty nigger whore,women
2747,0,I'd like to rape the bitch that posted that.,women 
2885,0,fuck outta here and go put some more trash ass ink on your faggot ass self pussy,women
3034,0,get on cunt,women
3040,0,bitch shut the fuck up goddam your a slut bitch whore nigga,women
3041,0,jk I'd fuck a dog before I fuck you fish pussy,women
3152,0,That's not bias. It's an objective fact that Philly fans are cunts.,women
3255,0,hoe don't make me put up screenshots of your texts to me hoe,women 
3357,0,hoe don't tweet me,women
3457,0,Move out of our country teabaggers!,women 
3469,0,those god damn chinks.,women
3489,0,shut up lizard faggot nigger cunt,women
3500,0,y don't that bitch just shoot herself? so sick of all those whores!,women
3539,0,it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,women
3555,0,"Ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat",women
3663,0,shut up you stupid bitch,women
3709,0,"I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &#;&#; dans so funny.",women
4180,0,your a cunt,women
4187,0,shut your legs hoe,women
