Index,class,tweet,group
186,0,""": LMFAOOOO I HATE BLACK PEOPLE This is why there's black people and niggers",black
204,0,""": ""At least I'm not a nigger"" Lmfao",black
263,0,""": #GerrysHalloweenParty Halloween was yesterday stupid nigger",black
320,0,""":  lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",black
443,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",black
466,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",black
535,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#;",black
549,0,"""Our people"". Now is the time for the Aryan race  stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum.",black
597,0,"""Who the fuck you callin jiggaboo, nigga?!""",black
772,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,black
789,0,"#SlightlyAdjusted RT  Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",black
808,0,"#TweetLikePontiacHolmes&#;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",black
998,0,&#;&#; fucc nicca yu pose to be pullin up,black
1029,0,&#;&#;&#;RT : Them st  Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#;,black
1251,0,&#;: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. - Dis be heaven fo a colored man,black
1468,0,&#;: Cowboys win games during the regular season but when they get to the playoffs that trash af lol&#; hating ass nigga,black
1474,0,"&#;: White kids favorite activities
. Calling people ""niggers"" on Xbox
.fucking their pet
. Shooting up their school&#;",black
1554,0,"&#;:  shut the fuck up, you fucking trash nigga, work on another ring&#;",black
1668,0,&#;: Shoot that nigga and his shorty bitch &#;&#;&#; &#;&#;&#;&#;,black
1729,0,&#;: You aint special niglet RT : When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#;hatin,black
1782,0,"&#;: &#;:  u a regular nig, u played out b&#; lol ima b Ig famous&#;these days that counts for somethin",black
1826,0,"&#;: No need to thank me, killing niggers is it's own reward.&#; 

Dis my pal from our graduation when we was",black
1891,0,&#;: That one friend who you greet with an insult.&#;   niggers,black
2068,0,' Don't sleep on ma niggah CHood &#;  &#;&#;,black
2077,0,' Happppppy Birthdayyyy &#;&#;&#; lol . Niggahs is really  in this bitch &#;&#; .,black
2106,0,"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a...",black
2219,0,...aaaaaaaaand it begins. RT : Fucking niggers that's all Kentucky is and ever will be,black
2223,0,"...you're white, aren't you? *rolls eyes* RT :  RIP to my NIGGA Trayvon, a worthless spear chucker",black
2307,0,white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#;&#;&#;,black
2457,0,but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.,black
2482,0,I hate that nigger.,black
2483,0,"Those niggers disgust me. They should have dealt with  years ago, we wouldn't be having these problems now.",black
2507,0,they are wrong you are a nigger always causung mischief among ur own people,black
2510,0,You be totally correct Anthony. Can&#;t be livin round dem colored folk. Day be bringin down da hood and dem propery value,black
2661,0,your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,black
2720,0,never followed him ignorant monkey,black
2742,0,they said some bullshit. Damn niggers,black
2743,0,wow!!! Are you comin back up here? &#;&#;&#;&#; they some bitch niggas,black
2766,0,sand nigger ran over some Kidd,black
2767,0,I don't like the sand nigger but it's entertaining like  knockdowns,black
2772,0,true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh,black
2790,0,"hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!",black
2848,0,you styl gotta get dem tweets off my nig,black
2901,0,be gone my nigguh,black
3018,0,"the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol","latinos, black"
3057,0,that hoe on some other shit bro rt and x better rn that a nigga high,black
3081,0,"Whatever! Fuck all those assholes. They're niggers, they all look alike to me.",black
3191,0,movies don't matter as long as you do coon shit with coons you're a nigga!,black
3216,0,because she's a nigger,black
