Index,class,tweet,group
85,0,""":   queer"" gaywad",lgbt
111,0,""":  you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway",lgbt
317,0,""":  is bored supposed to be cute, you faggot?"" Sometimes",lgbt
540,0,"""Nah its You : &#;&#;&#;&#; yo i thought some photoshopped my face on that faggot smmfh...i hate yall""",lgbt
591,0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally",lgbt
592,0,"""We're out here, and we're queer!""
"" , , , hut! We like it in our butt!""",lgbt
598,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing  fags walking down the street holding hands an",lgbt
744,0,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,lgbt
775,0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",lgbt
850,0,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",lgbt
991,0,&#; RT : LMFAO RT : If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,lgbt
1074,0,&#; RT : They recruited buku fags in here!&#;...a warehouse is no place for them!&#;,lgbt
1091,0,"&#;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the...",lgbt
1121,0,&#;: This is awkward u fag   wonder who's awesome tank that is &#;,lgbt
1167,0,"&#;: If u ask me, every bitch gay&#;or ""bi""",lgbt
1442,0,"&#;: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer",lgbt
1448,0,"&#;: I love the song ""John Doe"" #dope&#;   faggots",lgbt
1450,0,&#;: Just got done with my last final and I'm walkin around campus like I own this place&#; queer.,lgbt
1461,0,&#;: You dammn Weed potheads are annoying af on Twitter&#; weed and pot are the same thing faggot,lgbt
1467,0,&#; Who is she? RT : Y'all hype that bread loaf chick up but I'm a chill&#; a dyke rapper,lgbt
1923,0,"&#; "": If fleek in yo vocabulary you a faggot""&#;",lgbt
1948,0,&#;:  #faggot&#; #Respect,lgbt
1977,0,&#;: i want affection / but i also want to be left alone /... do you see the issue here?&#;fag,lgbt
1989,0,&#; Why yall think its ok to be faggots?&#; and want us to be cool with them,lgbt
2046,0,&amp;when they say him they mean dyke Ron #wcw,lgbt
2155,0,' This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .,lgbt
2210,0,------&gt;RT   ankle socks in general are for the faggots bro,lgbt
2274,0,beer queer,lgbt
2276,0,hoes  dyke,lgbt
2299,0,"old hoes, a ponk, and a dyke outchea having ""girl talk""",lgbt
2342,0,I bet he's a Starbucks queer,lgbt
2370,0,good enough fag,lgbt
2396,0,faggot,lgbt
2458,0,"So basically you like the background music, fag.",lgbt
2491,0,can't wait for more PEDS is that it? Roid munching faggot,lgbt
2504,0,fight me  on  ur choice of game faggot see what happens,lgbt
2523,0,guys not supposed to get their ass sucked queer,lgbt
2552,0,I do not like talking to you faggot and I did but in a nicely way fag,lgbt
2553,0,"answer my snapchat faggot 
#butthurt",lgbt
2570,0,do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..,lgbt
2575,0,"so ur faggot teammate  hits someone late like that and U say he's yapping and yelling, u guys def  in the room",lgbt
2642,0,you'd like that wouldn't you fag,lgbt
2644,0,He looks like a fag and his time line is boring Zzzzzz,lgbt
2697,0,pass the Fosters faggot,lgbt
2698,0,yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,lgbt
2719,0,yea u stupid faggot. I'm not leaving till like -pm. Want a ride?,lgbt
2751,0,"Fuck you, faggot.",lgbt
2755,0,These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh,lgbt
2768,0,Joe Cortez is the ultimate faggot that fight proved it,lgbt
2827,0,is a fag #hesgay,lgbt
2886,0,stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,lgbt
2888,0,you need to accept the fact that you're both hipster faggots.,lgbt
2891,0,"your gay stfu, dumb monkey",lgbt
2899,0,chase you God damn faggot &#;&#;&#;&#;,lgbt
2903,0,"faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot","lgbt, political"
2922,0,"you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace.",lgbt
2973,0,Because you're a fag,lgbt
3048,0,because if you support lesbians you have to support faggots there's no difference.,lgbt
3077,0,I'd hate feeling like a faggot too punk ass hoe,lgbt
3078,0,how about you wash my butthole out with your tongue you little faggot,lgbt
3082,0,"those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope.",lgbt
3088,0,fags&#;&#;,lgbt
3090,0,"purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!",lgbt
3094,0,shut up fag,lgbt
3126,0,you wouldn't know fag,lgbt
3242,0,becuz no man should celebrate his bday at a drreams #faggot,lgbt
3272,0,ew queer white thirsty bitch,lgbt
3274,0,omg gtfo white faggot,lgbt
3281,0,you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,lgbt
3325,0,heyyyyyyyyyyy fag boy am I gonna watch you play?,lgbt
3361,0,"Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",lgbt
3364,0,"Go pray in a church or something fag, no one cares about your religious bullshit.",lgbt
3401,0,fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA,lgbt
3402,0,ight nigga haha fucking queer has to clear his schedule,lgbt
3404,0,roid rage much faggot?,lgbt
3449,0,"Sion is a faggot. Very meh ganks pre- and post- his ganks are still pretty meh he's just a tank, nothing special imo Mao +",lgbt
3496,0,if the faggots can have a page y cant they?faggots offend me more than them,lgbt
3506,0,that was so gay. And I was tanning bitch. Juvie made me white,lgbt
3570,0,done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,"political, lgbt"
3594,0,randies are fags,lgbt
3597,0,just fuckin roasted this faggot,lgbt
3619,0,*yourself *faggot buy a dictionary,lgbt
3655,0,"I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there.",lgbt
3659,0,what do you want fag,lgbt
3660,0,your a fag,lgbt
3687,0,fag,lgbt
3689,0,you don't know shit about me faggot bitch,lgbt
3692,0,fag,lgbt
3693,0,faggot,lgbt
3694,0,not funny u faggot,lgbt
3696,0,ur brother looks so queer and ugly,lgbt
3733,0,good leave you stupid faggot,lgbt
3761,0,happy birthday faggot,lgbt
3783,0,sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag,lgbt
3807,0,"shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull","lgbt, mexican"
3914,0,so if your  and in high school you dont have your own house you fucking faggot,lgbt
3945,0,"i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week....",lgbt
3954,0,u pulled.that queer shit as spon as u put no homo lol,lgbt
4025,0,I don't bend that way queer. Thanks for the offer it's flattering.,lgbt
4026,0,go back to nigeria faggot,lgbt
4135,0,T.o. was a faggot crybaby,lgbt
4150,0,you a fag b,lgbt
4167,0,#NAME?,lgbt
4169,0,geta Life faggot,lgbt
4301,0,ugly gay nigga bitch fucking peace of shit,lgbt
4356,0,"Hey fag, I said this was your aunts. *He* said it was you.",lgbt
4425,0,your getting blocked faggot,lgbt
4484,0,fuck you fag!,lgbt
4485,0,fuck you niggah you gay. Lol,lgbt
4508,0,it was Paul McCartney faggot,lgbt
4526,0,dryer then them bad ass eyes of your fag,lgbt
4553,0,back up faggot,lgbt
4572,0,"fuck your mother, faggot",lgbt
4573,0,I don't hate that he blew up from  like a hipster but I hate the faggots who say they love his music based off his worst +,lgbt
4594,0,hes a lying faggot. he used inspect element to change the number of dollars in his account.,lgbt
4610,0,Dumb Haitian fake black faggots. Go to Haiti and neck yourself.,lgbt
4611,0,lmaoo what a fag,lgbt
4644,0,fuck those faggots,lgbt
4651,0,And the only band that sucked worse live is those fags Guns &amp; Poses.,lgbt
4666,0,I'm not a fag. Gtfo,lgbt
4721,0,faggot sack,lgbt
4743,0,you're such a faggot,lgbt
