Index,class,tweet,group,num_target_groups
85,0,""":   queer"" gaywad",lgbt,1.0
111,0,""":  you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway",lgbt,1.0
317,0,""":  is bored supposed to be cute, you faggot?"" Sometimes",lgbt,1.0
540,0,"""Nah its You : &#;&#;&#;&#; yo i thought some photoshopped my face on that faggot smmfh...i hate yall""",lgbt,1.0
591,0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally",lgbt,1.0
592,0,"""We're out here, and we're queer!""
"" , , , hut! We like it in our butt!""",lgbt,1.0
598,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing  fags walking down the street holding hands an",lgbt,1.0
744,0,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,lgbt,1.0
775,0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",lgbt,1.0
850,0,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",lgbt,1.0
991,0,&#; RT : LMFAO RT : If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,lgbt,1.0
1074,0,&#; RT : They recruited buku fags in here!&#;...a warehouse is no place for them!&#;,lgbt,1.0
1091,0,"&#;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the...",lgbt,1.0
1121,0,&#;: This is awkward u fag   wonder who's awesome tank that is &#;,lgbt,1.0
1167,0,"&#;: If u ask me, every bitch gay&#;or ""bi""",lgbt,1.0
1442,0,"&#;: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer",lgbt,1.0
1448,0,"&#;: I love the song ""John Doe"" #dope&#;   faggots",lgbt,1.0
1450,0,&#;: Just got done with my last final and I'm walkin around campus like I own this place&#; queer.,lgbt,1.0
1461,0,&#;: You dammn Weed potheads are annoying af on Twitter&#; weed and pot are the same thing faggot,lgbt,1.0
1467,0,&#; Who is she? RT : Y'all hype that bread loaf chick up but I'm a chill&#; a dyke rapper,lgbt,1.0
1923,0,"&#; "": If fleek in yo vocabulary you a faggot""&#;",lgbt,1.0
1948,0,&#;:  #faggot&#; #Respect,lgbt,1.0
1977,0,&#;: i want affection / but i also want to be left alone /... do you see the issue here?&#;fag,lgbt,1.0
1989,0,&#; Why yall think its ok to be faggots?&#; and want us to be cool with them,lgbt,1.0
2046,0,&amp;when they say him they mean dyke Ron #wcw,lgbt,1.0
2155,0,' This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .,lgbt,1.0
2210,0,------&gt;RT   ankle socks in general are for the faggots bro,lgbt,1.0
2274,0,beer queer,lgbt,1.0
2276,0,hoes  dyke,lgbt,1.0
2299,0,"old hoes, a ponk, and a dyke outchea having ""girl talk""",lgbt,1.0
2342,0,I bet he's a Starbucks queer,lgbt,1.0
2370,0,good enough fag,lgbt,1.0
2396,0,faggot,lgbt,1.0
2458,0,"So basically you like the background music, fag.",lgbt,1.0
2491,0,can't wait for more PEDS is that it? Roid munching faggot,lgbt,1.0
2504,0,fight me  on  ur choice of game faggot see what happens,lgbt,1.0
2523,0,guys not supposed to get their ass sucked queer,lgbt,1.0
2552,0,I do not like talking to you faggot and I did but in a nicely way fag,lgbt,1.0
2553,0,"answer my snapchat faggot 
#butthurt",lgbt,1.0
2570,0,do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..,lgbt,1.0
2575,0,"so ur faggot teammate  hits someone late like that and U say he's yapping and yelling, u guys def  in the room",lgbt,1.0
2642,0,you'd like that wouldn't you fag,lgbt,1.0
2644,0,He looks like a fag and his time line is boring Zzzzzz,lgbt,1.0
2697,0,pass the Fosters faggot,lgbt,1.0
2698,0,yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,lgbt,1.0
2719,0,yea u stupid faggot. I'm not leaving till like -pm. Want a ride?,lgbt,1.0
2751,0,"Fuck you, faggot.",lgbt,1.0
2755,0,These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh,lgbt,1.0
2768,0,Joe Cortez is the ultimate faggot that fight proved it,lgbt,1.0
2827,0,is a fag #hesgay,lgbt,1.0
2886,0,stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,lgbt,1.0
2888,0,you need to accept the fact that you're both hipster faggots.,lgbt,1.0
2891,0,"your gay stfu, dumb monkey",lgbt,1.0
2899,0,chase you God damn faggot &#;&#;&#;&#;,lgbt,1.0
2903,0,"faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot","lgbt, political",2.0
2922,0,"you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace.",lgbt,1.0
2973,0,Because you're a fag,lgbt,1.0
3048,0,because if you support lesbians you have to support faggots there's no difference.,lgbt,1.0
3077,0,I'd hate feeling like a faggot too punk ass hoe,lgbt,1.0
3078,0,how about you wash my butthole out with your tongue you little faggot,lgbt,1.0
3082,0,"those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope.",lgbt,1.0
3088,0,fags&#;&#;,lgbt,1.0
3090,0,"purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!",lgbt,1.0
3094,0,shut up fag,lgbt,1.0
3126,0,you wouldn't know fag,lgbt,1.0
3242,0,becuz no man should celebrate his bday at a drreams #faggot,lgbt,1.0
3272,0,ew queer white thirsty bitch,lgbt,1.0
3274,0,omg gtfo white faggot,lgbt,1.0
3281,0,you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,lgbt,1.0
3325,0,heyyyyyyyyyyy fag boy am I gonna watch you play?,lgbt,1.0
3361,0,"Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",lgbt,1.0
3364,0,"Go pray in a church or something fag, no one cares about your religious bullshit.",lgbt,1.0
3401,0,fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA,lgbt,1.0
3402,0,ight nigga haha fucking queer has to clear his schedule,lgbt,1.0
3404,0,roid rage much faggot?,lgbt,1.0
3449,0,"Sion is a faggot. Very meh ganks pre- and post- his ganks are still pretty meh he's just a tank, nothing special imo Mao +",lgbt,1.0
3496,0,if the faggots can have a page y cant they?faggots offend me more than them,lgbt,1.0
3506,0,that was so gay. And I was tanning bitch. Juvie made me white,lgbt,1.0
3570,0,done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,"political, lgbt",2.0
3594,0,randies are fags,lgbt,1.0
3597,0,just fuckin roasted this faggot,lgbt,1.0
3619,0,*yourself *faggot buy a dictionary,lgbt,1.0
3655,0,"I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there.",lgbt,1.0
3659,0,what do you want fag,lgbt,1.0
3660,0,your a fag,lgbt,1.0
3687,0,fag,lgbt,1.0
3689,0,you don't know shit about me faggot bitch,lgbt,1.0
3692,0,fag,lgbt,1.0
3693,0,faggot,lgbt,1.0
3694,0,not funny u faggot,lgbt,1.0
3696,0,ur brother looks so queer and ugly,lgbt,1.0
3733,0,good leave you stupid faggot,lgbt,1.0
3761,0,happy birthday faggot,lgbt,1.0
3783,0,sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag,lgbt,1.0
3807,0,"shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull","lgbt, mexican",2.0
3914,0,so if your  and in high school you dont have your own house you fucking faggot,lgbt,2.0
3945,0,"i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week....",lgbt,1.0
3954,0,u pulled.that queer shit as spon as u put no homo lol,lgbt,1.0
4025,0,I don't bend that way queer. Thanks for the offer it's flattering.,lgbt,1.0
4026,0,go back to nigeria faggot,lgbt,1.0
4135,0,T.o. was a faggot crybaby,lgbt,1.0
4150,0,you a fag b,lgbt,1.0
4167,0,- you know what you did you faggot. There are literally thousands of people that have you on their radar homo,lgbt,1.0
4169,0,geta Life faggot,lgbt,1.0
4301,0,ugly gay nigga bitch fucking peace of shit,lgbt,1.0
4356,0,"Hey fag, I said this was your aunts. *He* said it was you.",lgbt,1.0
4425,0,your getting blocked faggot,lgbt,1.0
4484,0,fuck you fag!,lgbt,1.0
4485,0,fuck you niggah you gay. Lol,lgbt,1.0
4508,0,it was Paul McCartney faggot,lgbt,1.0
4526,0,dryer then them bad ass eyes of your fag,lgbt,1.0
4553,0,back up faggot,lgbt,1.0
4572,0,"fuck your mother, faggot",lgbt,1.0
4573,0,I don't hate that he blew up from  like a hipster but I hate the faggots who say they love his music based off his worst +,lgbt,1.0
4594,0,hes a lying faggot. he used inspect element to change the number of dollars in his account.,lgbt,1.0
4610,0,Dumb Haitian fake black faggots. Go to Haiti and neck yourself.,lgbt,1.0
4611,0,lmaoo what a fag,lgbt,1.0
4644,0,fuck those faggots,lgbt,1.0
4651,0,And the only band that sucked worse live is those fags Guns &amp; Poses.,lgbt,1.0
4666,0,I'm not a fag. Gtfo,lgbt,1.0
4721,0,faggot sack,lgbt,1.0
4743,0,you're such a faggot,lgbt,1.0
4775,0,whats your youtube channel then faggot,lgbt,1.0
4782,0,I wouldn't be proud that faze is in your family. He's horrible for one and two he's ugly trailer trash... #fazeisgay,lgbt,1.0
4802,0,EYE WITNESS: Joel is a faggot,lgbt,1.0
4815,0,faggot,lgbt,1.0
4825,0,okay closet fag,lgbt,1.0
4836,0,ya fag,lgbt,1.0
4873,0,"if only there was a medal for that: ""we hate fags, but we won't kill them"" medal. Thank u for the privilege to let fags live.",lgbt,1.0
4897,0,faggot.,lgbt,1.0
4899,0,is the biggest faggot in the world,lgbt,1.0
4923,0,bye youre a queer,lgbt,1.0
4989,0,I've been knowing fag,lgbt,1.0
4997,0,faggot,lgbt,1.0
5076,0,"Aww y u so mad tho, a successful man LMFAO, hut hugging as faggot.",lgbt,1.0
5102,0,and  are faggots. Kbye.,lgbt,1.0
5182,0,I thought you would like him cause of the Chi but yeah he a faggot,lgbt,1.0
5208,0,it&#;s the entire pats bandwagon. They&#;re faggots,lgbt,1.0
5222,0,studies show that you're a faggot,lgbt,1.0
5239,0,only faggots drive stick,lgbt,1.0
5241,0,go jerk off to lollis faggot.,lgbt,1.0
5295,0,) He's a faggot and I don't like him. ) I'm on the other side of the state.,lgbt,1.0
5310,0,fuck outta here faggot that wouldn't even be a fair,lgbt,1.0
5324,0,shut the fuck up fag ill beat the shit outta you,lgbt,1.0
5330,0,insecure much put all you insults in one tweet. Fucking dumbass dude I'd wreck you you faggot,lgbt,1.0
5367,0,I hate that faggot he so corny,lgbt,1.0
5385,0,gay fags,lgbt,1.0
5427,0,fags,lgbt,1.0
5429,0,fag,lgbt,1.0
5449,0,your picture makes you look like a serious fag. #justsayin lol,lgbt,1.0
5464,0,"faggots, old people, people who can't drive, drunk people",lgbt,1.0
5491,0,fags,lgbt,1.0
5507,0,"I dont have any problems with zak, but you seem like a faggot",lgbt,1.0
5515,0,he's a faggot,lgbt,1.0
5528,0,yea I forgot I was talkin to a degenerate faggot,lgbt,1.0
5538,0,faggot,lgbt,1.0
5542,0,you're a faggot,lgbt,1.0
5545,0,hey fag i &lt; you,lgbt,1.0
5616,0,oh shut your mouth i was talkin about the morning you fag,lgbt,1.0
5648,0,leave dyke,lgbt,1.0
5669,0,faggot,lgbt,1.0
5670,0,i can give you some of my clothes so you can look like a cute dyke,lgbt,1.0
5699,0,happy birthday queer,lgbt,1.0
5707,0,oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.,"lgbt, whites",2.0
5709,0,with pills that nig will last  years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.,lgbt,1.0
5716,0,your a fucking queer faggot bitch,lgbt,1.0
5759,0,no ud still be a fag if I was lolz,lgbt,2.0
5760,0,ur a fag,lgbt,1.0
5801,0,nah she said you a fag,lgbt,1.0
5846,0,she spelled faggots with an e you're so cool lol,lgbt,1.0
5862,0,u guys are fags.,lgbt,1.0
5918,0,you had to throw in the faggot word smh smh smh,lgbt,1.0
5973,0,fuck you faggot,lgbt,1.0
5987,0,how many fuckin fags did a even get? Shouldnt be allowed into my wallet whilst under the influence haha,lgbt,1.0
5995,0,a faggot that needs to grow up,lgbt,1.0
5998,0,you did a good job doing that to me and not texting back faggot,lgbt,1.0
6006,0,thanks for ignoring my texts fag,lgbt,1.0
6041,0,"You don't have any kids?! What are you, one of them queers!?",lgbt,1.0
6135,0,yeah he sucks just like the other fags who are... oh nevermind there are NO fags in the #NFL,lgbt,1.0
6137,0,"I'll do it!  In the UK, ""Fag"" means cigarette and a ""faggot"" is a bundle of sticks, you homo.",lgbt,1.0
6180,0,"whatever hoe bitch # them ""fags"" beat yall sad asses too",lgbt,1.0
6181,0,fags.!,lgbt,1.0
6188,0,mean bro fucking faggot,lgbt,1.0
6190,0,die in a car accident then faggot,lgbt,1.0
6204,0,faggot,lgbt,1.0
6267,0,probs that fag Vhia,lgbt,1.0
6277,0,he looks like a pretty dyke&#;&#;,lgbt,1.0
6334,0,happy birthday faggot.,lgbt,1.0
6407,0,Is a fag,lgbt,1.0
6449,0,fag,lgbt,1.0
6470,0,oh shut up faggot get a disease overused on twitter,lgbt,1.0
6488,0,fag.,lgbt,1.0
6565,0,nah dude mostly just sound like a faggot,lgbt,1.0
6670,0,&#;&#;Alright fag what about this?,lgbt,1.0
6691,0,Roberts is a fuckin fag&#; smack the shit outta him,lgbt,1.0
6694,0,faggot,lgbt,1.0
6697,0,stfu dyke looking hoe.,lgbt,1.0
6711,0,fucking gay faggot look at that gay ass pink shirt haha,lgbt,1.0
6715,0,Ha Ha Ha no good fat dyke,lgbt,1.0
6719,0,call him a cock blocking faggot,lgbt,1.0
6740,0,faggot,lgbt,1.0
6741,0,"quit bitching faggot, happy you cant see your faggot family cry baby little girl crying in the parking lot, you aint a man sissy",lgbt,1.0
6742,0,don&#;t be a hurt little faggot,lgbt,1.0
6776,0,omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,lgbt,1.0
6788,0,faggots,lgbt,1.0
6808,0,lmao dude you are probably the biggest fag in nebraska &#;&#;&#;&#;&#;,lgbt,1.0
6812,0,gayer then  faggots in bed together&#;,lgbt,1.0
6884,0,"okay, let's fight you ginger faggot",lgbt,1.0
6891,0,well he is at Genos. So he is the ultimate faggot,lgbt,1.0
6894,0,Oh really? fags are gross You aids infected sick fuckers,lgbt,1.0
6900,0,"glad about your uncle, another stupid faggot off the world, hopefully you next.",lgbt,1.0
6938,0,come wage with us fag,lgbt,1.0
6991,0,I knew you were a faggot though,lgbt,1.0
7010,0,You're a fucking faggot.,lgbt,1.0
7024,0,I'm ' fag &#;&#;,lgbt,1.0
7042,0,if you go could you hook up the plant city faggots or,lgbt,1.0
7052,0,ugly dyke,lgbt,1.0
7093,0,stfu u ugly dyke,lgbt,1.0
7095,0,"he looks like reg. Memphis,tn. trash! we got them everywhere.","whites, lgbt",2.0
7124,0,BORING&amp;HACK allah and mohamed are also against fags.PLEASE mention them as well.did God take away your balls as punishment?,"lgbt, muslim",2.0
7151,0,I'm a faggot :/,lgbt,1.0
7192,0,youre a fag,lgbt,2.0
7194,0,@ me then faggot,lgbt,1.0
7235,0,go back to lego club faggot,lgbt,1.0
7277,0,it's goldbar dumb bitch and no my dad wouldn't pick you up he doesn't like faggots like you &#;&#;&#;,lgbt,1.0
7370,0,#faggot,lgbt,1.0
7374,0,fags***,lgbt,1.0
7442,0,fucking faggot,lgbt,1.0
7464,0,faggot I knew you weren't really my friend.,lgbt,1.0
7479,0,you little fag. At least I will fuck a Woman to have kids. Plus work to support them. Hipster homo,lgbt,1.0
7528,0,Alright fag,lgbt,1.0
7542,0,i made you lunch you fat faggot &#;,lgbt,1.0
7705,0,"Accept your flaws and imperfections because that's what makes you, YOU! See I'm a fuck, small dick faggot with parents who don't love me.",lgbt,1.0
7762,0,Al noooo ...... Too late fuckin faggot ! Lmao,lgbt,1.0
7901,0,Alright ya faggots. Lets just stop with all the S/O and R/T. No one gives a fuck on what you think of other people. Probably lying anyways,lgbt,1.0
8236,0,Between this trend and the vines acting like women its like niggas couldn't wait to be faggots,lgbt,1.0
8259,0,"Bill Smith DDS MTV ODB LGBTQ MMA NFL AFLCIO 

bitch pick one.

Fucking hate you.

I know you proud but shit.",lgbt,1.0
8383,0,Boy Yung thug is a fag,lgbt,1.0
8477,0,But atleast they let me know...ur a faggot if u keep those type of twitter secrets,lgbt,1.0
8531,0,Can #faggots of #HoneyBooBoo imagine this #internet world was created to trap them and feed them to #Allah like gazelles? #IT #StephenKing,"lgbt, muslim",2.0
8588,0,Can't stand that faggot.,lgbt,1.0
8695,0,Chicks love these ugly hipster faggots. Prolly cause they look like the dad that was never in their life.,lgbt,1.0
8708,0,Chris Bosh bout to disgrace the trophy like a real faggot smh,lgbt,1.0
8802,0,Curse AVI for Coke because he's a fag and hasn't put it on yet,lgbt,1.0
8881,0,Dani Alves pulled off that hairstyle. Neymar just looks like a faggot,lgbt,1.0
9146,0,Dyke bitches kill me thinkin they really got hoes lol,lgbt,1.0
9150,0,EDA!! The  queers at AA! lol,lgbt,1.0
9153,0,ESPN keep hiring these dyke bitches and gay Spanish niggas to talk sports,"lgbt, black, latinos",2.0
9297,0,Faggot ass bitch nigga,lgbt,1.0
9383,0,"Flaming faggots that publicly state how they want everything handed to them... Like fuck you dude, get off your bottom ass and do something",lgbt,1.0
9480,0,Fuck Ur god until dat faggot strikes me down,lgbt,1.0
9503,0,Fuck boi fag,lgbt,1.0
9578,0,"Fuckin' #faggots, man. #science knows these FUCKS can't procreate without the help of ""breeders"" but we treat them #fancy? #sin",lgbt,1.0
9584,0,"Fucking faggots  aren't from or live in DC, Maryland or VA",lgbt,1.0
9647,0,Gay ass nigga &#;&#; bitch you thought you thought,lgbt,1.0
9651,0,George michael such a fag,lgbt,1.0
9747,0,Good Mernin faggots,lgbt,1.0
9748,0,Good Morning to lightskin dyke bitches with Steven Segal ponytails.,lgbt,1.0
9949,0,Hate this dyke,lgbt,1.0
10323,0,"I be sayin I'm done drinkin everyday but then one of my friends hit me up like ""I gotta case"" and only faggots turn down free beer",lgbt,1.0
10356,0,I bet you think you a no-chill savage huh. Fucking faggot,lgbt,1.0
10715,0,I hate all these industry fags. I hope they all get the Nigerian Summer Flu,lgbt,1.0
10981,0,I love all people for who they are but there's this one fag that goes to my school that can catch a ninja star to the face ASAP,lgbt,1.0
11188,0,I still think snap chat for faggots and High Schoolers,lgbt,1.0
11212,0,"I swear these anon fags go to protests just to take pictures to post to Twitter. ""Look, I was there...Like me""",lgbt,1.0
11355,0,"I wasn't calling you a faggot, but you are one lol.",lgbt,1.0
11384,0,"I wish faggots like  would stop making music, rack city was fucking awful. Get the fuck outta michigan.",lgbt,1.0
11572,0,"I'm going to sell my iPhone and both my Macs, I don't support faggots.",lgbt,1.0
11602,0,I'm just upset they got faggots on this show,lgbt,1.0
11609,0,"I'm literally laughing in shock, amazement, joy. In...just everything. In everything! Pop the champagne American queers. We have arrived.",lgbt,1.0
11636,0,"I'm not weird, you're just a faggot",lgbt,1.0
11637,0,I'm obviously not talking about CoD because that game is for queers.,lgbt,1.0
12051,0,Im soooooo tired of this dick dyke showing up on my fb feed. Real studs dont fucc niggas. Just be bisexual.,"black, lgbt",2.0
12146,0,Iont see how some of you niggas fags!!,lgbt,1.0
12207,0,It really is too bad that #California had faggot marriage forced upon her after her citizens declared it illegal.,lgbt,1.0
12214,0,"It was nice of you to unfollow me, fag",lgbt,1.0
12288,0,It's this dyke chick cut hair in the barbershop look just like Future,lgbt,1.0
12331,0,Jai may make an appearance at the party... love that fag,lgbt,1.0
12499,0,Kanye west is a faggot,lgbt,1.0
12550,0,Kim Kardashian look like a tranny with all that surgery,"whites, lgbt",1.0
12565,0,Know why the ultimate warrior died? God LOVES fag #toosoon ? He was an anti-gay crusader so a little light jokes are necessary,lgbt,1.0
12794,0,Lmao Lebron's expression says it all RT &#;: This nigga is a fuckin faggot,lgbt,1.0
12797,0,Lmao RT  If u live wit ya girl and u do dishes u a faggot,lgbt,1.0
12838,0,Lmaooo RT  She a tranny if she can open a jar of pickles by herself,lgbt,1.0
12957,0,"Look at this little faggot.
"": Tell her she's beautiful as much as you can. It'll make her smile""",lgbt,1.0
13164,0,"Michael Sam being cut further proves that we fags don't belong in football or #NFL, it is a heterosexual sport for heterosexuals.",lgbt,1.0
13268,0,My advice of the day: If your a tranny.....go fuck your self!,lgbt,1.0
13281,0,My best friend loves Justin beiber what a fag &#;&#;&#;,lgbt,1.0
13531,0,Naw RT  Am I the only one mad that ESPN gonna be talking about faggot ass Penn State all week?,lgbt,1.0
13641,0,"Niggas are so fucking gay... And they try to cancel it out by saying ""nah were bros it's cool"" nahhhhhaahahahaha you a faggot bruh",lgbt,1.0
13764,0,"Not All Straight Men - I am frustrated. Unlike on OKCupid, queer folks don&#;t have the ability to block...",lgbt,1.0
13841,0,OMG :  ugly faggot. Your a bad mother. You should kill yourself like Robin Williams,lgbt,1.0
14005,0,Only faggots use white ds's,lgbt,1.0
14058,0,Oregon losing IN OREGON ahhhahahaha faggots,lgbt,2.0
14112,0,"Peace fags, just remember I'm best Lux support NA. Drop LustBoy pick me and Kakao up TSM.",lgbt,1.0
14274,0,Punk ass broke faggots.,lgbt,1.0
14318,0,""": Wow do we have another faggot? &#;: TIMAtheRACER wow do we have another Cam hater? lol&#;""&gt;&gt; dat dude is nice",lgbt,1.0
14382,0,Your Swags off fag sauce,lgbt,1.0
14575,0,Rudy Gay a faggot for not changing his last name once he got money.,lgbt,1.0
14576,0,Hate fags? The answer's yes.,lgbt,1.0
14631,0,Look at ya boy  RT : Nigga a faggot RT : Bruh RT : Chance The Rapper,lgbt,1.0
14876,0,if i dont get drafted for the squad we gonna have some problems drop the faggot jesus,lgbt,1.0
15019,0,it means you're a faggot lol,lgbt,1.0
15038,0,"&#;:  well he is at Genos. So he is the ultimate faggot&#;
 got to show this queer how to eat &#;",lgbt,1.0
15061,0,Lmaoo RT : That's a legal tackle faggot RT : Seriously?,lgbt,1.0
15114,0,Lowkey called that faggot a faggot.,lgbt,1.0
15201,0,Stfu faggot a clip is + holy fucking tittyy shit,lgbt,1.0
15329,0,Tell me how you really feel. RT : those little #ISIS faggots usually have bags over their heads anyway.,lgbt,1.0
15511,0,"To the rejects who constantly call my house and are threatening to rape my mom, karma's a bitch. Rot in hell, faggots.",lgbt,1.0
15735,0,&#;&#;&#;&#;&#; RT : Tight pants and loud colors!!! You look like a fag! &#;,lgbt,1.0
16020,0,This nigga is a fuckin faggot,lgbt,1.0
16024,0,but you're still a faggot,lgbt,1.0
16026,0,&#;: The bromance between pat and ant is real&#; fuck that faggot,lgbt,1.0
16069,0,My old man has a white galaxy phone cuz he's a fag.,lgbt,1.0
16079,0,&#;:  You're a faggot&#;you're a Texas fan...,lgbt,1.0
16106,0,"Do you ever just see someone's account and think ""wow what a faggot"" but at the same time you can't unfollow bc u can't m&#;",lgbt,1.0
16429,0,Exactly. .same shit I said&gt;&gt;&gt; : So nobody think Mimi was outta line for inviting Stevie J to the gay nicca v&#;,lgbt,1.0
16696,0,start crying and stalking him faggot. I want to laff,lgbt,1.0
16701,0,"If you dont see the connection between legitimizing the queer lifestyle, and an increase in STD's and sexual deviancy- yo ...",lgbt,1.0
16794,0,Apartheid. &#;: pedestrian check = show me your freedom papers you darkies.&#;,lgbt,1.0
16814,0,Happy birthday freshman faggots,lgbt,1.0
16824,0,"If you snipe, you're a fucking faggot. I fucking hope all of you snipers get fucking raped and suffer from cancer.",lgbt,1.0
16867,0,"Dont be a faggot, cover your mouth when you fkn cough or sneeze, I got a immune system to keep strong asshole",lgbt,1.0
17001,0,I stopped caring about mcm when I noticed dykes where getting chose before me,lgbt,1.0
17063,0,If you claim Macklemore is your favorite rapper I'm also assuming you watch the WNBA on your free time faggot,lgbt,1.0
17074,0,Happy birthday faggot! &#;,lgbt,1.0
17274,0,Sav is a fag,lgbt,1.0
17378,0,I hate taking a shit at public places bc i feel like a faggot when im placing the toilet paper on the toilet seat,lgbt,1.0
17493,0,If some little fucking faggot spits in my food I swear to god id tear your fucking arms off,lgbt,1.0
17495,0,aight game over. dykes had to ruin it,lgbt,1.0
17842,0,"ur a faggot if you change your name to your bday just so you can get bday tweets. this aint FB nigga, fuck yo birthday",lgbt,1.0
17886,0,Fucking chinks in Clash of Clans always fuck me up. Bitch ass kamikaze faggots.,lgbt,1.0
