Index,class,tweet,group,num_target_groups
2903,0,"faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot","lgbt, political",2.0
3570,0,done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,"political, lgbt",2.0
5688,0,"May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F.",political,1.0
6355,0,"to ----&gt; get past boot camp, and go active a few years, see what we REALLY do daily you liberal pussy",political,1.0
7304,0,"Only rich white liberals know what's best for black people. If they don't see that, they're obviously Uncle Toms.","political, black",2.0
9462,0,"From now on, I will call all radical MUSLIMS niggers!
It is very fitting, and it is racist! 
I AM RACIST AGAINST ANYONE WHO HATES AMERICA!","political, muslim, black",3.0
9916,0,Happy Columbus Day! Even #BillMaher likes #cocaine and #Columbus!!! What the fuck is wrong with you #liberals? Fuckin' #moron #retards....,political,1.0
12164,0,Is there a full moon out? #CrazyAssholes out in full force and I'm not talking about muzzies or liberals&#;&#; And I'm in the mood to oblige.,political,1.0
12291,0,"It's time to mock ""Halftime in America."" How 'bout ""Wake up America,"" we have radical leftists running the country.",political,1.0
14314,0,"RINO trash like , ,  see conservatives as the Democrat Party see blacks. As their slave property. #tcot",political,1.0
19796,0,US ghettos-driven by liberal ideology; forged by unions &amp; bankrupted by self-serving Dems catering to parasites!#tcot,political,1.0
21945,0,"The  elite call conservatives ""our niggers"" behind closed doors. #tcot #teaparty",political,1.0
23693,0,"You #football #nigga #KISS #ISIS #wifebeater #faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL #IslamNation, #YO&gt;","political, muslim, black",3.0
24380,0,guy complains to me: #gays are over-sensitive... my response: and look at you complaining like little pussy. waahh waahh #hypocrite,"women, political",2.0
