Index,class,tweet,group,num_target_groups
186,0,""": LMFAOOOO I HATE BLACK PEOPLE This is why there's black people and niggers",black,1.0
204,0,""": ""At least I'm not a nigger"" Lmfao",black,1.0
263,0,""": #GerrysHalloweenParty Halloween was yesterday stupid nigger",black,1.0
320,0,""":  lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",black,1.0
443,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",black,1.0
466,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",black,1.0
535,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#;",black,1.0
549,0,"""Our people"". Now is the time for the Aryan race  stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum.",black,1.0
597,0,"""Who the fuck you callin jiggaboo, nigga?!""",black,1.0
772,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,black,1.0
789,0,"#SlightlyAdjusted RT  Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",black,1.0
808,0,"#TweetLikePontiacHolmes&#;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",black,1.0
998,0,&#;&#; fucc nicca yu pose to be pullin up,black,1.0
1029,0,&#;&#;&#;RT : Them st  Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#;,black,1.0
1251,0,&#;: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. - Dis be heaven fo a colored man,black,1.0
1468,0,&#;: Cowboys win games during the regular season but when they get to the playoffs that trash af lol&#; hating ass nigga,black,1.0
1474,0,"&#;: White kids favorite activities
. Calling people ""niggers"" on Xbox
.fucking their pet
. Shooting up their school&#;",black,1.0
1554,0,"&#;:  shut the fuck up, you fucking trash nigga, work on another ring&#;",black,1.0
1668,0,&#;: Shoot that nigga and his shorty bitch &#;&#;&#; &#;&#;&#;&#;,black,1.0
1729,0,&#;: You aint special niglet RT : When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#;hatin,black,1.0
1782,0,"&#;: &#;:  u a regular nig, u played out b&#; lol ima b Ig famous&#;these days that counts for somethin",black,1.0
1826,0,"&#;: No need to thank me, killing niggers is it's own reward.&#; 

Dis my pal from our graduation when we was",black,1.0
1891,0,&#;: That one friend who you greet with an insult.&#;   niggers,black,1.0
2068,0,' Don't sleep on ma niggah CHood &#;  &#;&#;,black,1.0
2077,0,' Happppppy Birthdayyyy &#;&#;&#; lol . Niggahs is really  in this bitch &#;&#; .,black,1.0
2106,0,"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a...",black,1.0
2219,0,...aaaaaaaaand it begins. RT : Fucking niggers that's all Kentucky is and ever will be,black,1.0
2223,0,"...you're white, aren't you? *rolls eyes* RT :  RIP to my NIGGA Trayvon, a worthless spear chucker",black,1.0
2307,0,white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#;&#;&#;,black,1.0
2457,0,but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.,black,1.0
2482,0,I hate that nigger.,black,1.0
2483,0,"Those niggers disgust me. They should have dealt with  years ago, we wouldn't be having these problems now.",black,1.0
2507,0,they are wrong you are a nigger always causung mischief among ur own people,black,1.0
2510,0,You be totally correct Anthony. Can&#;t be livin round dem colored folk. Day be bringin down da hood and dem propery value,black,1.0
2661,0,your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,black,1.0
2720,0,never followed him ignorant monkey,black,1.0
2742,0,they said some bullshit. Damn niggers,black,1.0
2743,0,wow!!! Are you comin back up here? &#;&#;&#;&#; they some bitch niggas,black,1.0
2766,0,sand nigger ran over some Kidd,black,1.0
2767,0,I don't like the sand nigger but it's entertaining like  knockdowns,black,1.0
2772,0,true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh,black,1.0
2790,0,"hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!",black,1.0
2848,0,you styl gotta get dem tweets off my nig,black,1.0
2901,0,be gone my nigguh,black,1.0
3018,0,"the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol","latinos, black",2.0
3057,0,that hoe on some other shit bro rt and x better rn that a nigga high,black,1.0
3081,0,"Whatever! Fuck all those assholes. They're niggers, they all look alike to me.",black,1.0
3191,0,movies don't matter as long as you do coon shit with coons you're a nigga!,black,1.0
3216,0,because she's a nigger,black,1.0
3280,0,ratchet looking nigger,black,1.0
3286,0,"yes now get off twitter, you lame negros should have never learned how to use the Internet",black,1.0
3326,0,"Says the old man :( I hope you can survive another  years, you silly Jigga boo monkey",black,1.0
3378,0,Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!,black,1.0
3396,0,haha ight nig calm yoself,black,1.0
3434,0,"they want what I got, I want what they got, America.they got the word nigger, I want it to",black,1.0
3442,0,I'm jus tryna vaca away from the niggers bro.,black,1.0
3486,0,#niggerfood #niggerperson #you #are #a #nigger,black,1.0
3517,0,happy cuz I woke up white and not a nigger!,black,1.0
3520,0,nigger!!,black,1.0
3538,0,Can you speak one coherent sentence without sounding like a nig? Seriously.,black,1.0
3562,0,that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,black,1.0
3589,0,you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,black,1.0
3626,0,You can always gets da colored folk back in da cage wit da KFC,black,1.0
3652,0,niger,black,1.0
3734,0,"huh, lol mad nigger is mad",black,1.0
3827,0,fuck u nigger,black,1.0
3867,0,ugly nigger,black,1.0
4016,0,now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,black,1.0
4043,0,&#;&#;&#; you're a coon,black,1.0
4069,0,"Yeah! Me too. My people, the women, laff at the set apart men... they love the real niggas or niggers.",black,1.0
4079,0,hey aklve! Im taking out the black ghetto trash. Youre blocked nigger,black,1.0
4157,0,Anything to trash this black President!!,black,1.0
4239,0,shut up coon.,black,1.0
4275,0,I wasn't serious bitch &#; bitch them niggas i named ain't fuccing witcho ass &#;&#; we all just making shit up &#;&#;,black,1.0
4278,0,I swear to god nigger you better still hang with me before work. You got my hype,black,1.0
4279,0,do you work today niglet?,black,1.0
4302,0,y'all is coons n uncle toms,black,1.0
4345,0,lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg,black,1.0
4390,0,big fucking deal...cry baby niggers,black,1.0
4433,0,just like a nig to come home when ever they want,black,1.0
4442,0,look at this nigger ass nigger shit right here,black,1.0
4453,0,niggers*,black,1.0
