Index,class,tweet,group,num_target_groups
90,0,""":  alsarabsss"" hes a beaner smh you can tell hes a mexican",mexican,1.0
864,0,#milesthompson #goauche #wetback #ca,mexican ,1.0
1230,0,"&#;: We agree... do you? FUCK YES, I DO! Send those illegal, wetbacks home!!!",mexican,1.0
2604,0,send them damn beaners back where they belong n the US aint it,mexican,1.0
2770,0,all us beaners were pissed like robert when the jew ref stopped it,"jews, mexican",2.0
2983,0,wetback &#;&#;&#;&#;&#;&#;,mexican,1.0
3125,0,beans u beaner?,mexican,1.0
3214,0,you both sure do You want to give a free pass to every border jumper in this country you two are what's wrong here,mexican,1.0
3294,0,"""leave you beaner retard""","disabled, mexican",2.0
3497,0,"im American, don't give  shits about the beaners, ship them beaners back",mexican,1.0
3649,0,and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,mexican,1.0
3806,0,"damn took this dumb spic nearly  days to respond, wuz really good tho beaner?",mexican,1.0
3807,0,"shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull","lgbt, mexican",2.0
3982,0,fucking losers wetbacks #SorryNotSorry,mexican,1.0
4650,0,You are full of it! These so called children are not children. They are illegal border jumpers MS!# gang members.,mexican,1.0
5280,0,"So you support ""illegals"" coming here and spreading disease among Americans Dream that bitch!",mexican ,1.0
7026,0,yeah you right and you know them Mexicans bringing all they family that hoe finna be packed,mexican,1.0
7336,0,".we got , except eric holder gave them  the beaners  kill americans! guess he is race blind!",mexican,1.0
7760,0,"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans &amp; trailer park trash white girls.",mexican,1.0
11403,0,"I wonder if that Latino strategy is working?: GOPer doubles down on ""wetbacks"" but backpedals on ""shoot on sight""",mexican,1.0
14875,0,chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,mexican,1.0
14878,0,kill this beaner,mexican,1.0
16548,0,Bdubs is packed with beaners &#;&#;,mexican,1.0
17753,0,"i can do somethin good but im always gon be a ""wetback"" coo.. &#;",mexican,1.0
18367,0,Illegal alien is not a race. It's a crime.     #wetbacks,mexican,1.0
18491,0,I saw a great chimpout  summers ago. A middle aged Salvadoran and his  Yr old son got wasted by  beaners at the metlife &#;,mexican,1.0
20401,0,You're not the father ! What every Mexican/nigger loves to hear.,mexican,1.0
21036,0,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#;",mexican,1.0
21318,0,Sitting at the bar at work watching Walking Dead and all these fucking wetbacks decide to come in &amp; turn on their spic music. Jesus Christ,mexican,1.0
21524,0,Someone shut this beaner up please.,mexican,1.0
21856,0,That fucking slutty beaner,mexican,1.0
22934,0,Waiting on this wetback sycksyllables,mexican,1.0
23070,0,What a wetback looks like when he gets caught crossing the border.,mexican,1.0
23348,0,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,mexican,1.0
24585,0,in real life and online I follow that. sorry folks but just cause I look like a border hopper don't mean I am one. born and raised here,mexican,1.0
24740,0,my mom tried to get me to buy beaner boots bc they were on sale like I'm not in a mariachi band please stop.,mexican,1.0
24962,0,someones clearly a stinky ass beaner...,mexican,1.0
25197,0,"which one of these names is more offensive kike, wop, kraut, wetback jigaboo, towelhead, gook, or redskin.","mexican, asian, whites, black",4.0
