Index,class,tweet,group,num_target_groups
206,0,""":  Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",disabled,1.0
354,0,""": Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",disabled,1.0
790,0,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,disabled,1.0
1423,0,&#;: Dudes shaving without it being for an athletic purpose is gay af&#; you're retarded.,disabled,1.0
1715,0,&#;: My phone charging backwards &#;&#; retarded,disabled,1.0
2208,0,", me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga",disabled,1.0
2489,0,this is retarded,disabled,1.0
2923,0,you don't know what your talking about retarded faggot,disabled,1.0
3121,0,this like a retarded wu-tang clan,disabled,1.0
3151,0,I just learned how many retards you can find when you search trending topics.,disabled,1.0
3294,0,"""leave you beaner retard""","disabled, mexican",2.0
3411,0,legit retard,disabled,1.0
3758,0,lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard,disabled,1.0
3925,0,Because Ian's retarded,disabled,2.0
4071,0,"They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards",disabled,1.0
4582,0,You retarded bruh lol,disabled,1.0
4839,0,Ahmed and retard mikey for special Olympic boxing,disabled,1.0
4852,0,das calld usen yo brain retard y would i whoop yo ass n front of da police,disabled,1.0
5149,0,coming to the rescue of some retard licking dirty skidmarks on the internet... you guys are fucktards,disabled,1.0
5663,0,you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded,disabled,1.0
5783,0,like the new AVI. My Twitter is retarded and shows you in the cubs hat but when I stalk your profile it show the new one,disabled,1.0
5979,0,Yes you do retard.,disabled,1.0
6279,0,all u can pull is the fucking retard,disabled,1.0
6452,0,thats just me rooting against a team I hate not banwagoning u retard u have a different favorite,disabled,1.0
6485,0,its retarded,disabled,1.0
6636,0,here let me say it more clearly since your retarded ass don't understand,disabled,1.0
6637,0,how would u know if I don't fuck with you? Exactly you don't wtf I got shut your retarded ass up,disabled,1.0
6669,0,your so fucking retared its not even funny bitch im going to sleep u,disabled,1.0
6871,0,"congratulations, you are officially fucking retarded.",disabled,1.0
7290,0,Soft shit? Are you handicapped or retarded?,disabled,1.0
7545,0,This is Twitter. Not only are you a fag but you're also retarded.,disabled,1.0
8720,0,Clan of retards...,disabled,1.0
8925,0,"DeeDee, Patrick, Ed, Sheen, Timmy's Dad, Beavis &amp; Butthead, Peter Griffin. This is just a list of SOME mentally retarded cartoon characters.",disabled,1.0
10388,0,I can't blow bubbles or whistle. I'm basically retarded.,disabled,1.0
11255,0,I think this nigga retarded G,disabled,1.0
11962,0,"If you say any of the following words the convo is over: nigger, nigga, swag, yolo, fag, retard.",disabled,1.0
13177,0,Minus all the retarded poor bots.,disabled,1.0
13744,0,"No. Its wrong to try to change #faggots&gt; There is no ""therapy"" so #tcot should understand and sympathize like they are #retards&gt;",disabled,1.0
13755,0,None of us went to these PRESTIGIOUS establishments so we're clearly not as superior as these fucking retards...,disabled,1.0
13857,0,Of course my #faith for #baseball is off this year. BECAUSE OF #BARRYBONDS you goddamn retards!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #morons,disabled,1.0
14006,0,"Only fags say ""swag"" shits mad retarded.",disabled,1.0
14022,0,Only retards retweet fuckry,disabled,1.0
14118,0,People are fucking retarded lol,disabled,1.0
14126,0,People get more and more retarded everyday,disabled,1.0
14130,0,People on this site are fucking retarded sometimes,disabled,1.0
15543,0,You can no longer run a business n America unless it's deemed acceptable by  political group of retards known as democr&#;,disabled,1.0
15865,0,"While the men will often be rambling and retarded, the women will appear trashy and tipsy, lawless and lustful",disabled,1.0
17578,0,Proof that thots are retarded.,disabled,1.0
18786,0,Smh nigga is mildly retarded RT : LMFAO RT : If Griff wasn&#;t injuries we&#;d legit be -,disabled,1.0
19036,0,you're a retard,disabled,1.0
19689,0,"""I love cripples! Look at all these fucking cripples! Goddamit I'm a people person!""",disabled ,1.0
19999,0,Never go full retard,disabled,1.0
20711,0,California's biggest retards. Don't forget about HOLY who just released an amazing EP.,disabled,1.0
21511,0,"Somebody please choke that fucking retard that keeps yelling ""mashed potatoes"". What a tool! #PGAChampionship",disabled,1.0
22303,0,These niggas retarded... Lmfaoo,disabled,1.0
22511,0,This girl is retarded,disabled,1.0
22556,0,This kid looks like a retard when he tries hiding his phone... so obvious,disabled,1.0
23126,0,What's worse than #Ebola ? The F-ing retards trying to make it a race issue. Al Sharpton has caused more American death than ebola.,disabled,2.0
24000,0,Your retarded.,disabled,1.0
24338,0,fucking CHRIST i hate tutors and TAs. you literally get paid to teach retards to stop picking their nose. GET THE FUCK OUTTA MY FACE,disabled,1.0
24936,0,slow replies make me feel like a retard and I just want to put my foot through a wall... hjhdyhdhlgjdftilh,disabled,1.0
25067,0,they're working on a bill to prevent retards from voting. who knew retards COULD vote? things are starting to make sense now.,disabled,1.0
25290,0,you're such a retard i hope you get type  diabetes and die from a sugar rush you fucking faggot,disabled,1.0
