Index,class,tweet,group,num_target_groups
528,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",whites,1.0
656,0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",whites,1.0
657,0,"""poor whitey""",whites,1.0
673,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",whites,1.0
693,0,#California is full of white trash,whites,1.0
694,0,#California is full of white trash who moved from #Oklahoma,whites,1.0
700,0,#DTLA is trash because of non-Europeans are allowed to live there.,whites,1.0
710,0,#Dutch farmers are white trash.,whites,1.0
711,0,#Dutch people who live outside of #NewYorkCity are all white trash.,whites,1.0
742,0,#Iowa is full of white trash,whites,1.0
750,0,#Minnesota is full of white trash,whites,1.0
791,0,#SouthCarolina is full of white trash,whites,1.0
807,0,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.",whites,1.0
811,0,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot",whites,1.0
812,0,#Virginia is full of white trash.,whites,1.0
815,0,#WestVirginia is full of white trash.,whites,1.0
851,0,#firefighter is a job for white trash,whites,1.0
988,0,&#; &#;: Racist all month .. Fuck u honkey&#;,whites,1.0
1288,0,"&#;: ""fucking white people"" bitch wut?",whites,1.0
2172,0,"'Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege'",whites,1.0
2194,0,"*goes to olive garden*
*Turns into a cracker*
"": *goes black friday shopping*

*turns into a nigger*""",whites,1.0
2320,0,"// MO  let &#;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser",whites,1.0
2495,0,homo ass crackers,whites,1.0
2516,0,"The ""You&#;re going have  KILL crackers &amp; their babies&#; New Black Panthers #CredibilityShot #FergusonRiot #JusticeMikeBrown",whites,1.0
2546,0,ape? Fuck u broke ass racist,whites,1.0
2612,0,cracker jack shut the fuck up,whites,1.0
2687,0,lmfao go to bed whitey &#;,whites,1.0
2785,0,racist  tx trash racist why wld u intvw  n ask racist questions itwas so disrespectful,whites,1.0
3131,0,"An enraged '""  lb Mike Brown lethal weapon on legs.His hatred  the police &amp; whitey added fuel  his arsenal",whites,1.0
3219,0,you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one,whites,1.0
3266,0,jus wanted to let y&#;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN,whites,1.0
3273,0,fugly queer white trash,whites,1.0
3288,0,hahahaha youza fuck wigger,whites,1.0
3366,0,"That band is white trash, and only white trash would buy that album.",whites,1.0
3456,0,your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,whites,1.0
3488,0,ok wat ever u say whitey. u prolly never even seen shaft.,whites,1.0
3492,0,ya I know all the slang I'm racist I h porch monkies,whites,1.0
3632,0,nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,whites,1.0
3765,0,"and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days.",whites,1.0
3859,0,is an evil hate whitey racist who thinks Delbert Belton deserved it.,whites,1.0
3971,0,"I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash.",whites,1.0
4245,0,I don't follow you because everything about your company is white trash.,whites,1.0
4246,0,You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,whites,1.0
4247,0,stop trolling me u creepy ass cracker!!!,whites,1.0
4252,0,She be what we say in da hood white trash,whites,1.0
4253,0,Y&#;all whitey gots to PAY fo da preparations,whites,1.0
4305,0,"fuck you, stupid ass coward ass punk bitch faggot ass racist piece of shit. Punk. Bitch, ain't worth my time!",whites,1.0
4399,0,what did you search? Gay redneck episode  play?,whites,1.0
4646,0,i agree my fellow cracker.,whites,1.0
4731,0,bruh we can finally roll like rednecks (': ((drug dealers)),whites,1.0
4867,0,I don't give a flying fuck what a teabagger piece of human garbage like you thinks =),whites,1.0
4868,0,you are a teabagger scum who wants to threaten people with his penis extender. You are a danger to this country.,whites,1.0
4880,0,you call  house nigger and she's the racist? Fathom the hypocrisy in that statement.,whites,1.0
4884,0,"...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass, closet racist, wannabe-commune-without-railroad state&gt; #Cali",whites,1.0
4906,0,hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it. They love stupid people,whites,1.0
5180,0,That's actually non-English. Because #okiecops are filthy white trash who are all criminals.,whites,1.0
5465,0,"fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit",whites,1.0
5600,0,"WooHoo! New Black ""Kill Cracker babies"" Panthers to the rescue! #racist #trash #thugs #Ferguson #fergusonriot",whites,1.0
5643,0,"naw dude I wish, they're white trash",whites,1.0
5707,0,oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.,"lgbt, whites",2.0
5758,0,But that's what you call white trash with money!!!!!,whites,2.0
5892,0,this bitch look like a fucking white trash Trailer park queen lookin man bear pig.,whites,1.0
5913,0,"AMERICA today, the rule of thumb is: when in doubt, blame ""whitey""",whites,1.0
5930,0,"Youre racist against white people whigger. Anti-Racist is a codeword for anti-white.
Anti-zionist is a codeword for antisemite.",whites,1.0
6109,0,"We hate the Yankees though, right? I feel like I'm really good at hating them.",whites ,1.0
6213,0,ur not sassy white trash change ur username,whites,1.0
6229,0,learn how to type ya hillbilly,whites,1.0
6253,0,"don't stop now half breed, I'm just starting to learn about what makes you a dumb ass",whites ,1.0
6269,0,do i have to repeat myself u white trash,whites,1.0
6310,0,It's a nice way of callin y'all honkies,whites,1.0
6348,0,"I'm going to blame the black man, since they always blame ""whitey"" I'm an equal opportunity hater.",whites,1.0
6393,0,nigga who's bitch u fucking cracker get your gay ass out my mentions.,whites,1.0
6415,0,"all racist nTx trash w  all hate to see this particular man in WH n not the ""Butler""",whites,1.0
6427,0,"so terms like honkey, cracker, peckerwood and stereotypes of white people fucking their kids and sisters isn't racist? sweet!",whites,1.0
6456,0,"I LOVE RACISM! ""Blame whitey"" for EVERYTHING!
Now that you mention it! I bet the white man put the Desert tortoise on #BundyRanch",whites,1.0
6703,0,He may be 'hustlin' but he studied Critical (Race) Theory and 'my people' Holder is getting his 'revenge.' They hate whitey.,whites,1.0
6809,0,stfu white trash,whites,1.0
6857,0,I live in the eye of a white trash hurricane. Milwaukie OR. Where people use bikes BC of DUI's not to save the environment.,whites,1.0
6873,0,the favorite drink of white trash everywhere....,whites,1.0
6920,0,no you ignorant cement headed hillbilly. You said taxing. Cant you fuckin read you fucking knob gobbling douchebag,whites,1.0
7095,0,"he looks like reg. Memphis,tn. trash! we got them everywhere.","whites, lgbt",2.0
