Index,class,tweet,group,num_target_groups
2731,0,/ of a citizen. I said it for you maria you spic,latinos ,1.0
3018,0,"the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol","latinos, black",2.0
3910,0,"nahh , whatever you are spook or spic, I still don't like you . Good day",latinos,1.0
4020,0,idk you into mouthy spics on welfare with  kids and  baby daddy's?,latinos ,1.0
6183,0,your tits may be better looking but her face makes you like a Asian or Latina tranny #facts,latinos,1.0
6184,0,you look like a welfare bitch compared to Latinas I date and fuck. You need fashion and makeup tips tbh,latinos,1.0
9153,0,ESPN keep hiring these dyke bitches and gay Spanish niggas to talk sports,"lgbt, black, latinos",2.0
9239,0,Every spic cop in #LosAngeles is loyal to the #LatinKings,latinos,1.0
11949,0,"If you kill all cops and cracker babies, what next?????? Black states, white states, and Latino states? Isn't that moving backwards?",latinos,1.0
12777,0,Literally every man in my fam copped a bad white bitch as a wife. I ain't even boutta break da chain. Unless a latina comes around,latinos,1.0
23074,0,"What be the peckin order?
 white Christian
 colored
 Porto Ricans 
 Arab 
 Jews 

I donts know. I be axin","christian, black, latinos, jews, whites",5.0
24146,0,bitch you're white stfu with your shitty Spanish,latinos,1.0
